perID,perNombre,perApellido,perDireccion,perBarrio,perCiudad,perTipoVivienda,perLocalidad,perEmail,perEntidadSalud,perProcedencia,perSede,perFacultad
10101011,"Ana José","Ramírez Mendoza","CL 120 s No. 81-31",Guayabal,Barranquilla,Apartaestudio,Otra,ARamírezM@unal.edu.co,"Sura EPS",N.E,Bogotá,Medicina
10101012,"Gabriela Andrés","Pérez Núñez","KR 125 j No. 43-65","Las Acacias",Barranquilla,Apartaestudio,Engativá,GPérezN@unal.edu.co,Colmedica,N.E,Bogotá,Ciencias
10101013,"Ricardo Felipe","Sánchez Gómez","TV 72 h No. 43-30","San Antonio",Cartagena,Finca,Usaquén,RSánchezG@unal.edu.co,Colmedica,N.E,Bogotá,"Ciencias Veterinarias y de Zootecnia"
10101014,"Miguel Juan","García Romero","AK 117 a No. 48-12","Campo Valdés",Ibagué,Finca,Chapinero,MGarcíaR@unal.edu.co,"Nueva EPS",N.E,Bogotá,"Derecho, Ciencias Políticas y Sociales"
10101015,"Laura Ricardo","Torres Gómez","CL 20 e No. 82-16","El Rodeo",Ibagué,Casa,"Puente Aranda",LTorresG@unal.edu.co,Famisanar,N.E,Bogotá,Psicología
10101016,"Santiago Ernesto","Ramírez Fernández","AC 104 i No. 58-59","Loma de Los Bernal",Cali,Casa,Teusaquillo,SRamírezF@unal.edu.co,"Nueva EPS",N.E,Bogotá,"Ciencias Agrarias"
10101017,"Jorge Diego","Álvarez Ruiz","TV 48 o No. 75-48","Santa Cruz",Cali,Apartaestudio,Suba,JÁlvarezR@unal.edu.co,Sanitas,N.E,Bogotá,Artes
10101018,"Natalia Manuel","Ruiz Jiménez","KR 127 b No. 3-38","El Centro",Cúcuta,Apartaestudio,Teusaquillo,NRuizJ@unal.edu.co,"Nueva EPS",N.E,Bogotá,Psicología
10101019,"Ricardo Andrés","Suárez Pérez","CL 123 f No. 2-85",Manila,Barranquilla,Apartaestudio,"Rafael Uribe Uribe",RSuárezP@unal.edu.co,Cafesalud,N.E,Bogotá,Ciencias
101010110,"Andrés Ernesto","Rojas Martínez","KR 20 t No. 46-45","Las Acacias",Villavicencio,Apartaestudio,Teusaquillo,ARojasM@unal.edu.co,Famisanar,N.E,Bogotá,Ingeniería
101010111,"Luis Carla","López Díaz","TV 112 b No. 3-81",Envigado,Bucaramanga,Apartaestudio,Bosa,LLópezD@unal.edu.co,Cafesalud,N.E,Bogotá,"Ciencias Económicas"
101010112,"Isabel Pedro","López Morales","AK 172 o No. 41-63","El Lido",Cúcuta,Apartamento,"La Candelaria",ILópezM@unal.edu.co,"Sura EPS",N.E,Bogotá,"Ciencias Agrarias"
101010113,"Diego Fernando","Romero Díaz","TV 132 q No. 88-99","El Rodeo",Soacha,Finca,Engativá,DRomeroD@unal.edu.co,Aliansalud,N.E,Bogotá,Ciencias
101010114,"Manuel Andrea","Silva López","TV 146 t No. 29-4","Barrio Colombia",Cartagena,Casa,"Rafael Uribe Uribe",MSilvaL@unal.edu.co,Sanitas,N.E,Bogotá,"Derecho, Ciencias Políticas y Sociales"
101010115,"Mónica María","Fernández Martínez","CL 141 p No. 48-86","La Floresta",Villavicencio,Casa,Bosa,MFernándezM@unal.edu.co,SaludTotal,N.E,Bogotá,Odontología
101010116,"Raúl Santiago","Martínez Suárez","KR 36 g No. 5-66",Bello,Medellín,Apartaestudio,"Puente Aranda",RMartínezS@unal.edu.co,Colmedica,N.E,Bogotá,Odontología
101010117,"Miguel Ricardo","Reyes Martínez","AC 23 i No. 19-80",Itagüí,Cartagena,Apartaestudio,"Barrios Unidos",MReyesM@unal.edu.co,Sanitas,N.E,Bogotá,"Ciencias Agrarias"
101010118,"Raúl Andrea","Romero Torres","AC 63 r No. 57-23",Bello,Villavicencio,Casa,"San Cristóbal",RRomeroT@unal.edu.co,Famisanar,N.E,Bogotá,"Ciencias Económicas"
101010119,"Ana Alejandro","Romero Ruiz","AK 160 b No. 42-32",Bello,Villavicencio,Apartaestudio,"Ciudad Bolívar",ARomeroR@unal.edu.co,Aliansalud,N.E,Bogotá,"Ciencias Económicas"
101010120,"Carlos Pedro","Martínez Flores","TV 167 c No. 10-46","Barrio Colombia",Bogotá,Finca,Engativá,CMartínezF@unal.edu.co,Cafesalud,N.E,Bogotá,Psicología
