estID,perNombre,perApellido,perEmail,perSede,perFacultad,carreID,carreNombre,carreCreditos,estEdad,estPBM,estPAPA,estTipoAdmision,estEsEgresado,perDireccion,perBarrio,perCiudad,perTipoVivienda,perLocalidad,perEntidadSalud,perProcedencia,horPendCorresp
10101011,"Ana José","Ramírez Mendoza",ARamírezM@unal.edu.co,Bogotá,"Ciencias Humanas",36,"Lingüística (SNIES 16938 )",141,17,73,4.1,Regular,0,"CL 120 s No. 81-31",Guayabal,Barranquilla,Apartaestudio,Otra,"Sura EPS",N.e,NULL
10101012,"Gabriela Andrés","Pérez Núñez",GPérezN@unal.edu.co,Bogotá,Ingeniería,27,"Ingeniería Agronómica (SNIES 1 )",162,27,50,4.5,Regular,0,"KR 125 j No. 43-65","Las Acacias",Barranquilla,Apartaestudio,Engativá,Colmedica,N.e,10
10101013,"Ricardo Felipe","Sánchez Gómez",RSánchezG@unal.edu.co,Bogotá,Ingeniería,26,"Ingeniería Agrícola (SNIES 24 )",188,21,76,4.4,PEAMA,0,"TV 72 h No. 43-30","San Antonio",Cartagena,Finca,Usaquén,Colmedica,N.e,NULL
10101014,"Miguel Juan","García Romero",MGarcíaR@unal.edu.co,Bogotá,"Ciencias Humanas",47,"Trabajo Social (SNIES 15 )",171,18,19,4.5,Regular,0,"AK 117 a No. 48-12","Campo Valdés",Ibagué,Finca,Chapinero,"Nueva EPS",N.e,12
10101015,"Laura Ricardo","Torres Gómez",LTorresG@unal.edu.co,Bogotá,Ciencias,22,"Física (SNIES 33 )",165,19,73,4.5,PEAMA,0,"CL 20 e No. 82-16","El Rodeo",Ibagué,Casa,"Puente Aranda",Famisanar,N.e,15
10101016,"Santiago Ernesto","Ramírez Fernández",SRamírezF@unal.edu.co,Bogotá,"Ciencias Económicas",13,"Economía (SNIES 18 )",167,28,30,4.5,PEAMA,0,"AC 104 i No. 58-59","Loma de Los Bernal",Cali,Casa,Teusaquillo,"Nueva EPS",N.e,18
10101017,"Jorge Diego","Álvarez Ruiz",JÁlvarezR@unal.edu.co,Bogotá,"Ciencias Económicas",13,"Economía (SNIES 18 )",167,24,37,4.5,PEAMA,0,"TV 48 o No. 75-48","Santa Cruz",Cali,Apartaestudio,Suba,Sanitas,N.e,NULL
10101018,"Natalia Manuel","Ruiz Jiménez",NRuizJ@unal.edu.co,Bogotá,"Derecho, Ciencias Políticas y Sociales",10,"Derecho (SNIES 17 )",168,25,88,4.5,Regular,0,"KR 127 b No. 3-38","El Centro",Cúcuta,Apartaestudio,Teusaquillo,"Nueva EPS",N.e,20
10101019,"Ricardo Andrés","Suárez Pérez",RSuárezP@unal.edu.co,Bogotá,Medicina,38,"Medicina (SNIES 9 )",172,19,64,4.5,PEAMA,0,"CL 123 f No. 2-85",Manila,Barranquilla,Apartaestudio,"Rafael Uribe Uribe",Cafesalud,N.e,23
101010110,"Andrés Ernesto","Rojas Martínez",ARojasM@unal.edu.co,Bogotá,Ciencias,16,"Estadística (SNIES 32 )",175,23,2,4.5,Regular,0,"KR 20 t No. 46-45","Las Acacias",Villavicencio,Apartaestudio,Teusaquillo,Famisanar,N.e,NULL
101010111,"Luis Carla","López Díaz",LLópezD@unal.edu.co,Bogotá,Ingeniería,34,"Ingeniería Mecatrónica (SNIES 16939 )",146,25,24,4.5,Regular,0,"TV 112 b No. 3-81",Envigado,Bucaramanga,Apartaestudio,Bosa,Cafesalud,N.e,NULL
101010112,"Isabel Pedro","López Morales",ILópezM@unal.edu.co,Bogotá,Medicina,38,"Medicina (SNIES 9 )",172,21,79,3.9,PEAMA,0,"AK 172 o No. 41-63","El Lido",Cúcuta,Apartamento,"La Candelaria","Sura EPS",N.e,26
101010113,"Diego Fernando","Romero Díaz",DRomeroD@unal.edu.co,Bogotá,Ciencias,37,"Matemáticas (SNIES 35 )",181,24,43,3.9,PEAMA,0,"TV 132 q No. 88-99","El Rodeo",Soacha,Finca,Engativá,Aliansalud,N.e,NULL
101010114,"Manuel Andrea","Silva López",MSilvaL@unal.edu.co,Bogotá,Ingeniería,32,"Ingeniería Industrial (SNIES 16940 )",145,26,39,3.9,Regular,0,"TV 146 t No. 29-4","Barrio Colombia",Cartagena,Casa,"Rafael Uribe Uribe",Sanitas,N.e,28
